Misc. electrical & electronic equipment repairers,Sheetmetal duct installers,"Precision assemblers, metal","Groundskeepers and gardeners, except farm",Hoist and winch operators,"Supervisors, extractive occupations","Machine operators, not specified",Miscellaneous material moving equipment operators,"Painters, construction and maintenance",Welders and cutters,Sociology teachers,Carpet installers,Hand cutting and trimming occupations,"Freight, stock and material handlers, n.e.c.",Production helpers,Crane and tower operators,"Truck drivers, light","Forestry workers, except logging",Adjusters and calibrators,"Painters, sculptors, craft-artists & printmakers",Fire inspection and fire prevention occupations,Miscellaneous precision woodworkers,Sales engineers,Photographers,Sheet metal workers,Electrical power installers and repairers,"Insurance adjusters, examiners and investigators",Timber cutting and logging occupations,"Supervisors; painters, paperhangers and plasterers",Motor transportation occuputions n.e.c.,"Supervisors, material moving equipment operators","Supervisors, motor vehicle operators",Non record,Janitors and cleaners,"Supervisors; plumbers, pipefitters & steamfitters","Sales occupations, other business services",Occupation not reported,Industrial engineering technicians,Sawing machine operators,Assemblers,Industrial engineers,Painting and paint spraying machine operators,Machinery maintenance occupations,Electrical and electronic technicians,Occupational therapists,"Helpers, mechanics and repairers","Engineering technicians, n.e.c.","Drillers, earth",Carpenter apprentices,Plasterers,Telephone line installers and repairers,"Managers, marketing, advertising, & public rela.",Supervisors; electricians & power transm. install.,"Tile setters, hard and soft",Telephone installers and repairers,Sheet metal worker apprentices,Sales counter clerks,"Supervisors; handlers,equip-cleaners,laborers nec",Miscellaneous plant and system operators,Mechanical engineers,"Police and detectives, public service","Miscellaneous precision workers, n.e.c.",Drywall installers,Carpenters,Lay-out workers,"Communications equipment operators, n.e.c.","Supervisors, production occupations",Concrete and terrazzo finishers,"Grader, dozer and scraper operators","Plumber, pipefitter and steamfiter apprentices",Miscellaneous precision metal workers,Cabinet makers and bench carpenters,Structural metal workers,"Inspectors, testers and graders",Industrial truck and tractor equipment operators,Stock handlers and baggers,"Construction trades, n.e.c.",Vehicle washers and equipment cleaners,Trade and industrial teachers,Roofers,Mining machine operators,Drilling and boring machine operators,"Helpers, construction trades",Farm workers,"Helpers, extractive occupations","Graders and sorters, except agricultural","Heating, air conditioning, and refrig. mechanics","Supervisors, mechanics and repairers","Supervisors, n.e.c.",Mechanical engineering technicians,Construction laborers,"Drillers, oil well",Insulation Workers,"Electronic repairers, communica. & indus. equip.",Not specified mechanics and repairers,Excavating and loading machine operators,"Traffic, shipping and receiving clerks",Electricians,"Plumbers, pipefitters and steamfitters",Brickmasons and stonemasons,Data processing equipment repairers,"Supervisors, food preparation & service occupation",Tool and die makers,"Laborers, except construction","Technicians, n.e.c.",Political science teachers,"Supervisors and proprietors, sales occupations","Supervisors; brickmasons, stonemasons, tilesetters",Elevator installers and repairers,"Hand painting, coating and decorating occupations","Misc. metal,plastic,stone&glass-working; mach. op's",Glaziers,"Managers and administrators, n.e.c","Paving, surfacing and tamping equipment operators",Lathe and turning machine set-up operators,"Hand molders and shapers, except jewelers","Science technicians, n.e.c.",Computer systems analysts and scientists,"Truck drivers, heavy",Heavy equipment mechanics,Supervisors; carpenters and related workers,"Bus, truck and stationary engine mechanics","Supervisors; distrib., sched'g & adjusting clerks",Operating engineers,Hand packers and packagers,Specified mechanics and repairers,"Sales workers, hardware and building supplies","Supervisors, related agricultural occupations",Brickmasons and stonemasons apprentices,Miscellaneous hand working occupations,Construction inspectors,Millwrights,Electricians' apprentices,"Management related occupations, n.e.c.",Water and sewage treatment plant operators,Boilermakers,"Supervisors, forestry and logging workers",Optometrists,Civil engineers,"Supervisors, firefighting & fire prevention occupa","Supervisors, cleaning and building service workers"
4.958714189808333,3.935111387701646,4.284200146135872,3.3955970786478957,4.034027943145624,2.946746048857511,3.0593664850178763,4.053902772336269,3.588031887413656,4.285449336301506,2.1629921076270144,4.004909916995823,2.6611131184484593,3.7305458925530095,3.9792042904851614,3.9481327003829794,2.378507289046551,3.0791267474641053,3.07359258343459,2.9773132276390997,3.982456522838489,3.6201201055539,4.0701917632443685,1.5562416713914424,4.191560149158012,4.402170667706161,2.502001064159538,3.0303506801261855,3.9204207968134153,4.435755483426802,4.001015999076712,3.897107323506904,2.0382853033469526,3.9771697765336347,3.617606194575591,3.4479365000243307,1.6223392833350707,4.342029631990508,3.949192170224781,4.270926802790203,4.565666315507334,3.661377891591375,4.095653664597194,4.405013669342599,3.2537635523706454,4.424829503138571,4.2437569216730155,4.085104709781711,3.5995112796719404,4.720400804776506,4.492664807435384,2.5964323144310213,4.2992966770668595,3.356841554985712,4.623270546999812,4.029815732784133,2.602672233631343,3.09188055546078,3.6024610355845184,4.326415696988045,1.9459004997424076,3.832891929866971,3.987923416596291,3.766080998226278,3.5409938131297576,4.2841628765132445,3.4756264428619117,2.1218302918229908,3.167118166517338,3.482597757676888,3.772080525439896,3.6496474509540193,3.5600070701220012,4.293440739629961,4.088122351263819,2.987330839916045,3.9909664490159154,4.217692752294175,4.025524303021432,2.6895523781200206,3.9388161019608177,3.87501349389746,3.589766635231039,3.541162132387474,3.145400340661565,3.074858011174675,3.879544646501631,4.432676259331457,4.095946197517156,4.181434666153996,3.0170278222215345,3.801581588048599,3.393087692434392,4.368749060451644,3.996238229245664,3.1132143566004133,2.962873807370061,4.744430595559533,3.5760837487819,2.3021089811275273,4.521352302903786,3.8697602173650316,2.8221393452906476,2.937935034805313,4.429043693355738,3.3309960682781616,3.3835245085240873,2.5456234788796417,4.486683941694288,3.8049567020659687,3.7389422248707245,4.336414825562156,2.7028033802151894,3.955119215929321,3.5787314819791343,4.343914117365833,4.221694683422654,4.046046628624006,2.233257169252925,4.271962430648898,3.2483231968231303,3.7152186320536624,2.471123397029699,3.9843667610998894,4.039987102796168,4.551559534865174,3.55530070637971,2.867226953816873,3.3402898854508956,2.624465843721999,3.2286963233421955,4.372927679611523,3.725564548595414,3.81085963955575,3.4625594282533863,3.668081679803878,3.0029704338022456,2.424263632221974,3.4125389372041184,3.538614105870424,3.5761947047039566
3.930013890859038,4.8819866104207135,4.103003467102823,3.563693144559384,3.1280173440903263,2.2127718110331163,2.991200896882369,3.9956026675878773,4.099452341517832,4.086687885628633,2.164729679379598,4.298889213887288,3.8105979380979194,3.369882098555302,3.327262806515474,3.6252925752498615,2.523797753413361,3.020596000301306,3.050160287048195,4.062719128515849,3.5741561759918077,4.3247598600105315,4.1172073182178055,2.9321074367236584,3.990207451007602,4.3597317482241404,3.135926127049477,3.3293221342455572,4.2186940146570775,2.1368042995341847,3.7774406335984665,3.341315860928277,1.6943638515595503,4.140549821300344,3.895924058170945,3.319185974223352,1.457018953436394,4.340685079084577,4.105912644838435,4.067146316132618,4.495811251694045,3.983788155351785,3.952937307953652,4.173048687355113,3.4544788569070617,3.9277815993441774,4.152239779082862,3.912419040668859,4.124781616270079,4.563737020778124,4.05544249649598,3.03055398770173,3.777151408402089,3.8408385546984674,4.358041303089872,3.987367444756744,2.2376845734387008,3.032181136394339,3.4430363983657166,4.279873601148749,2.5015735702888455,3.633128249665332,4.334470067707159,4.110836103899322,3.5288220168099964,3.808984946924108,3.064773202394477,3.8611888196856166,3.4038420037891006,4.058748461657481,4.020581011928318,3.871926124759702,3.8577987736120853,4.044973415322495,3.6969447413738967,3.708832450385125,3.119614831396709,4.239896808580803,3.344262125321462,4.521901051105946,3.1147957918313622,3.5652712275836276,3.527319713460324,3.174983046191124,3.1895623158637525,2.3657080257359775,3.859714693045087,3.971160549739891,2.856428380434801,4.185250795015795,3.3508014825351156,3.3109167054025885,3.938183683289559,3.590516840126088,3.7813072393969387,3.483220923349422,2.120820346778869,4.534111874611851,4.3445688340722945,3.8446533844430277,2.843606453510271,2.4687921342738983,3.924450511783007,3.327866013040719,4.197603994862561,3.21962975531588,3.176142848533789,3.4917429709636805,4.384101311432531,4.013899715565717,3.921227600844622,4.587812395165303,3.6432252698254124,3.8073894417645384,3.658120530445203,4.24731438930134,4.009870933882642,3.9653408580577705,3.3347921000597496,4.101021508892296,3.187114173390964,3.5837129380549313,1.7350811726044548,4.087004715030966,3.991587833501383,4.285934749769645,3.4806052514427703,2.7381801101007595,3.833370513631224,3.484768845992745,3.651978487548812,4.206815348340195,4.149421946938102,3.15464627875972,3.360114428513363,4.090968961002799,2.961995596129689,2.1209568647531976,3.7286175692892245,3.36786992369294,3.7644254051225494
4.285999734474953,4.105393223017006,4.942927600513263,2.4588422397787078,3.7951441840763973,2.582945777516292,3.3472928349686373,4.17441352202989,4.128766968365406,4.261444508571489,1.6286151699544293,3.8033822383750246,3.625062321586369,4.260724012982412,3.9580479271670694,3.96520477834158,1.887564569649561,2.4174182681609917,4.164492915017886,4.175316865942709,3.137025673654696,4.495195051905162,3.9350084106359935,2.4958662785046055,4.212427755781953,4.2504216581392145,2.253083184431529,3.0638345174231674,4.176303220663121,3.9462157108846108,3.9125813077604654,2.896799232652243,2.114467809103879,4.109646282958677,3.7788075806127037,2.424863442558875,1.450734092231713,4.255721868753659,4.19265489334799,4.611677453272075,4.302370217111687,3.9398610500022775,3.9870641410584646,4.3377364389732485,1.5543915015035545,4.306585988090808,4.273582151592929,3.7746209095547605,4.0199014528303625,4.627240106634371,3.7172060054819474,2.25729999419313,3.933914707899736,4.237585858220221,3.5283603321010295,4.058138732019652,1.8938550983417795,2.6070145149259263,3.3364704105845338,4.201431358084628,1.6470078836617974,4.359861523574704,4.097190253585477,4.140194771416949,3.994118705723753,4.034258231340766,3.2402151622219213,3.4242648113256,3.1860475519910803,3.236868583706509,4.59575162085619,3.9821534810587695,4.274319779340371,3.9314794915276634,3.712761244610879,3.3889146350591455,4.30603871057538,4.311313913463586,3.925832847454015,4.160356323439311,3.80392805030157,3.868763773846234,4.130670578420312,3.2440705486735135,3.4358344902901394,2.393480565484376,3.0707541700267753,3.91959509695726,3.6306962018494855,4.197078117851997,3.9652808124403784,2.9800520083943054,4.002041757220936,3.8988022519364254,3.756478477343837,3.0451381825400654,2.20898111218656,4.06932360433354,3.910449789876146,4.0175914714791805,3.24591177380862,2.317254098540719,4.232321907268467,3.979825980540401,4.444576953307675,2.063237025364734,2.360590775179005,3.334478728168119,4.1088733194817895,4.175806809785184,4.145378855501678,4.311422239102985,2.7878213709449393,3.4259696599141445,3.9547614557607353,4.240019890525415,4.248457941799943,3.7666970359962093,2.6623005371981723,4.455100329357711,3.7150041259286595,3.1224890261443425,1.9778179603978712,4.120660469067315,4.170308782859671,4.370541332643324,3.767215657009619,2.0748720933880533,4.017532790524628,3.7667016267856446,3.9621605803205946,4.078352708117228,3.779707837571888,3.6663214288679864,2.3704921316329686,4.1052188882095795,2.147456042600578,1.6401364066965223,3.911812570481184,2.2969513195843896,3.6813110280453403
3.387679251580506,3.560339342883316,2.4444349338093443,4.944786034028475,3.514717265380345,3.5338866919079237,1.6407784567178916,2.5293827118286183,4.380093879306287,4.461159807426336,2.319440869708839,4.0280468866117705,2.801502188460428,2.521725656913174,4.197936678058341,3.42574298841253,1.6512433219227687,3.722237159859619,2.5611248516430174,4.359992145370843,2.3011402204093985,2.873327565848706,3.100339667553526,4.25217444840088,2.8287497060897766,4.317614537988071,3.1786060530450735,2.3697475200199403,4.548069840403844,2.143974959292695,3.440387734618957,3.399129074737327,1.9871704723378063,4.671893829367859,4.298400253428304,2.1007920697440747,1.6480730006615076,3.9466816548744337,1.9661993105543383,3.993090482962678,4.097856808381997,2.9946730162677087,3.5223785435065635,4.499604980624985,4.250891455307509,4.644260194243033,3.279353382045776,4.328797597218546,4.340813256559374,4.515643923228084,4.310905045901546,2.6740474149114517,4.142629107955154,3.5460932523590474,4.562895126959054,3.6686703665465354,2.5274400634143435,4.089236580580442,4.043910719737614,4.356240262037524,2.3731016855656346,2.260331961626016,3.5991011043200922,4.432696461983034,4.091932554288714,2.3447466619892228,4.017662720318333,3.238302720795631,4.112157922351178,4.116969443329449,2.265868970875659,3.718266673627384,2.795954174386997,4.261169470067916,3.436890524650175,4.1060444522103206,2.3950103450504794,3.3590896916896584,3.7118907050174474,4.512868012522169,2.2299720594207715,2.111877910472986,3.590129377564652,4.251249562263858,3.1706949498682775,4.267668351828583,3.279099537447742,4.585918349019047,3.9099479624628284,4.057973864046694,3.778698146152239,3.6090104567107026,3.7786078603776567,2.413822927013063,3.610759703205963,3.3272232549083323,2.5255518899355183,4.834688537154701,4.500456455572817,4.37412434250206,1.9131141789970527,2.64088305500508,2.259966942425736,3.8923208002464404,4.203332799445452,2.947249386199572,4.2133951658454425,3.9962359741016344,4.439616306877705,2.628282513655067,1.712460495401385,2.851450999650152,4.143265118263267,3.66131136087876,3.2983474013429057,4.412381060334178,3.5916847779458507,3.649871217886787,1.8404138823411562,3.085512641151117,4.118230690501221,3.2064420492767782,2.997471759215842,3.6042203223702165,4.203075670800258,4.693389860390093,2.5434200800698683,3.7481890416742107,4.514215254199641,2.7566365694494417,3.3494358220894047,4.1436707781609226,4.722764274072384,2.3273302716742257,4.239521188681363,2.958385578567754,4.104181201856301,3.498394925277366,3.212812302784897,2.681344670109428,3.7265661965520813
4.009828096618773,3.1057241568394645,3.7705771138023247,3.4890693300496154,4.956588919666244,2.275874935735164,3.984639396986972,4.295702225453812,3.9042721523652757,4.490161126114847,1.3377243794266624,2.667122040330038,2.8684438686192237,3.9290452457337146,3.6516895499470947,4.221804422696179,3.168926400991556,3.238978580469416,4.154116868351441,2.4849827773770303,2.183856837256834,2.029960725751709,2.2147530451927104,1.2342150249520256,3.531451601048788,4.415077045097252,2.4455925636846434,2.8738813738816114,3.446545011914728,3.451022264252588,4.102336353294923,4.212742467709285,1.4880493736151683,3.927582295814824,2.178729130910283,1.5112141283739784,1.4005781589303763,4.237994115938722,4.186562583397119,3.659942924816155,4.573475969148358,4.455393018001341,3.0296136019848663,4.463479730279946,1.8619512168942776,4.233389349094298,3.0710820301218553,4.109652119305506,3.548902927774198,4.252509863358677,3.8152285400452417,1.9783546626153752,3.9983755759371653,2.4103435207793433,3.8143807217789387,3.6674917229599444,1.5102909213132132,2.7544546117071222,4.230976318035266,4.610479943453038,1.7199766469104585,2.51017805324514,3.652170776256196,2.480067880408886,3.992449522099069,4.274557841039099,1.875608032127733,3.137373889345157,4.298060404715908,3.2197333258640737,3.3820753754341046,3.0849425216211914,3.575169981155655,4.3846918538213835,4.4598910463768515,3.954246528231422,1.9801006777573005,4.492594583894275,2.9135374783954284,2.516135377705699,4.149339671854916,4.282095252603283,3.2578703682421835,3.7310606317560944,2.501961079700984,4.128919280183486,4.129402113454219,4.079100642904713,2.6426376615450358,4.222198313210182,3.6166866182079693,4.0658752509859415,3.4470243081321184,3.7054423257242153,3.3697141422639083,4.20117491225264,1.8362669202235002,3.720026975242882,2.2262658914597635,2.7296602342160363,2.3417556046390464,1.8307871418340125,3.9333660995342647,3.648281586539875,2.691684781054364,1.6423353672898229,2.0669549898189468,2.376835655891061,4.342093650639034,2.3252494745186745,3.0770238090427475,3.443602244554902,3.1523266537461825,4.320397058063512,4.260603078776786,4.259783128067116,2.3830787518747156,3.9439732411770936,3.905582274633061,4.283879014915096,3.045885742664325,4.133250490581943,2.092002977122279,4.2015019065648795,4.360109328460006,4.649921529855647,2.3615861742853648,1.76528852211634,3.3667761550296267,2.0699035970002537,2.1789744255916244,4.204800826663851,3.640902012013202,1.6097762969145193,4.406507462517501,4.023713096794007,3.5812699896315614,1.4552063372724997,3.6440752257714486,2.231544172616675,3.5758327275162545
2.95782461254672,2.2269756928051203,2.5911295815192954,3.5519707008237376,2.3230723156107813,4.903911951045249,2.8157414365104323,3.6898812018199054,3.4140608910975105,3.8101798839359233,3.512811252585852,1.6524563603390852,3.88011341889671,3.637604635581706,3.751019217705556,3.061194372258235,1.5413872098790597,3.6546704343958494,1.9454906625459611,3.4507567202254568,4.114929602897091,1.4943012068090658,2.6814083481843296,2.7799981506352305,4.1296396446660335,2.145974441141141,2.1708976617047773,3.535616165020741,4.343832638033877,3.2083131779625242,4.168148081993676,3.6951309108049735,2.13605102890667,4.318145398099936,4.3047659492972,3.6518871881662385,2.7769498554086978,3.868111875357708,2.673773733272307,3.903352256616934,4.016931232357284,2.6434975031900123,4.195959292618061,3.1407916484834892,4.180405706063135,3.9493087502737767,3.469549156594529,4.144866364687099,4.1835633947155735,4.276468469616154,1.9534348543140438,2.353022732348082,4.162071373822774,3.5303328850827933,1.7780057868765144,4.024130732375232,1.7801932614798328,4.208339744501883,3.41076308202088,3.939518107580988,1.8188848410179315,3.12304333260087,1.4604098165227108,3.556736093142235,4.1436417194627655,3.529592576985576,4.441543224844946,1.7980473592269233,3.7651489652455252,3.75080852657556,2.6441509012232896,2.3211054813415695,3.347539545792678,4.03494501894855,3.032815044106004,3.0198211335648804,3.2643473068311812,2.2461413299809188,3.896838603703005,1.928362805198466,3.3951223680317772,3.2515925045372116,3.9003296777578997,4.062695368501909,4.562170132370823,4.13402115754994,1.5335848592728014,4.52354071590505,4.231335038744554,3.5281432433235147,3.720308126026271,3.903624227963825,3.442225988656099,2.5932902470669443,2.843016385771604,1.9299531215535566,2.4193136653801064,3.532080268819702,3.1068008696732754,3.656332726050612,3.000117984116171,4.158440712925738,1.9971452423764284,3.7662154333562703,3.956430557378974,3.5555636683694796,4.15310901180422,4.1061326106554406,1.9730085512822395,3.8694980279886155,1.6979722530142674,3.8811013418183506,3.9981535183929684,2.3716251348496273,1.7938430331874786,3.55465232002304,3.8121355167754,3.434566502346843,1.591553879536988,2.660283046338688,4.215842044566866,2.009929890673608,3.287162377881211,3.637521783175772,3.838156483277081,3.605024792736169,2.7872994625202514,4.460139919084751,4.03377333007632,4.20286507930033,2.993525729047251,3.924199287455912,3.7990294467195485,3.999221161582984,2.3197618121790393,4.128142584392121,3.860880038123673,2.0229345642277687,3.25939151744718,4.0897567304518585,3.8651092260656057
3.0618175669368863,2.996418122898782,3.347338463769872,1.6478471424554226,3.987218882059785,2.8072657107938013,4.114216518195461,3.9103267315373214,2.566485205444918,3.662765324941233,1.6107232787823054,2.918754670458806,2.4591489988805444,3.6373436934466756,3.0789279543428525,3.938126242310994,1.5283945630358768,3.379657870900936,1.7018328056469105,1.604624511688534,2.2530029011795256,2.2116383633533117,2.42574762057722,1.3825199635581533,2.163433288451489,3.3278037146883506,1.6223714275346293,3.5162384609268527,2.4852465608848515,2.3023339786174413,3.880239116178382,3.6851536254168753,1.6294097901916667,2.6518970589223763,1.942443440857268,2.6003254177904678,2.3071362868688965,3.31082037393704,4.1067095722931946,3.2985288608685304,2.8891805667764276,3.981033905639149,3.1483427278978255,2.845015605221003,1.7875313391372336,2.877170983502959,2.9466458698025253,2.7806528197816114,2.5141034596222958,2.9438186227523913,2.9589015138233754,2.6716680559586523,2.8995366493776875,3.141078730466515,2.668078183210239,2.924248369073798,1.7401670964367315,1.8137929648525126,3.7453818959908873,3.5274797172310675,1.541784596811819,2.688581613255993,2.8403741702440484,1.8922818305790108,3.2662779288402546,3.961992294051263,2.2366541618900277,1.5542763627841585,3.9743924071724193,1.9564276185845455,3.025676299736295,1.8001230978340041,2.195732478908536,2.9550526525798047,3.7898915085845206,3.8005796876029625,2.7064808484496634,3.196138920252582,3.1060968121866543,1.4013035209757265,3.98522022558554,3.9513792715356364,3.4908552725966198,3.1872927626316376,3.2107011349351833,2.519759364018885,2.4645531624525883,2.5216518959500727,2.3109942206530842,3.4228418533403,2.399752348713102,2.2927289376820057,2.8632906674035685,2.2466187382974234,3.925754485428381,3.899873516334722,1.9309026365947197,1.786593170233337,1.9101351206124622,1.7709069877489054,3.0891404050333797,2.613332515134635,2.3761267649335167,2.4076858022420895,2.637659590645754,2.4072803623784558,2.36459912648088,1.821169948746387,3.101699638435013,2.1423363557722968,2.201312951647192,2.689312697281068,2.7259592102108616,3.502511643682252,4.016371882727063,3.4174481844325375,2.942591710707468,3.3628873729730104,1.8842156651033852,3.7473572954510646,2.019927953760459,3.1791006318444754,1.9718150543661137,3.7218345562549495,3.9451761970144914,4.059343821728344,2.343389830377144,2.2778494721940277,2.4602640991427362,2.8995384613844197,2.0741082935636106,3.1548951144161133,2.1907216084117613,2.413477511559603,3.6254920224556337,2.003606392002758,3.2994058971353986,1.3693289135626574,2.402452966325596,1.875600166428166,2.6621376718969865
4.052553225084224,3.9993961796331243,4.171252957167945,2.545139930995269,4.298566642520648,3.687546327952787,3.9083738874571705,4.8597083154084,3.8672698642415853,4.040079786681146,1.9692787568036683,3.6243789358295517,3.2693759577286494,3.9143954051277587,4.026493761566024,4.075025810567372,1.9753478172934082,3.1329167383573213,2.4898908212442072,3.213434930483588,3.5011222494028034,3.6933529538604186,3.569484374173686,2.28232939597705,4.131573871367548,3.765864180844516,2.028474362996639,3.2053671465856053,4.07065350850528,4.244279161681893,4.592330498772655,4.110192324325022,2.196679092619311,3.420384921221266,2.3562716676308493,3.5571098147088662,1.7344177628129054,4.399309298225317,4.229593914067229,3.873580434325275,4.320422764712184,4.131658890490422,3.991569634688446,4.168657601965358,2.2139909668808855,3.6940157776188256,4.127196352709851,4.121274369102608,3.00203094401297,4.62794909716432,3.494371350093891,3.152611182774763,3.9051830896455066,3.5135933181735517,3.270153737381623,4.041847837484863,2.2928021978612736,3.1475000607912484,3.5821069453416037,4.377289848387877,2.1582340771739243,3.7195191928356235,3.734859125816395,2.1500503849701578,3.709474913198057,4.184237897617657,3.6812413643930526,2.318225555000909,4.213087932402498,2.67932976919779,3.8545663836851496,2.52074111508385,3.9785621372435687,3.6005961962196222,4.014623905459976,3.5878934007769,4.055584855602174,4.066959193175682,3.926238079452736,2.05342260582271,4.071301606757896,4.049810449770826,3.786007280694383,3.3732616915662694,3.616605455212496,3.4116980752055714,3.3734945576778284,3.494036371467643,3.8840930175359873,4.306758092797758,3.628545520160706,3.7518141114977874,3.9211528108650624,3.3453971215011196,3.5410380168401616,3.8595873950326887,3.226926361302948,2.654562733731268,2.278444968067125,2.802700104118437,3.61735278572103,3.5212717195741825,3.335290314006083,3.596446915042463,3.729990643927289,3.4690031765133824,3.3622423544713427,2.970455314310792,3.852550003069928,4.0508138985196105,3.655018569883438,3.5164910241249085,2.999071353661491,3.9216620671186764,3.9942359536184355,4.073520492344567,3.8158498825385703,3.674149114026739,2.431081051328876,4.108999328989459,2.7642834169214465,3.833166377116878,2.42779848847751,4.004741036001844,4.101495010743546,4.247053050266954,3.4878923719496644,3.3387911761548197,3.4195067033121775,3.579064017380959,3.3806347395088263,3.800896429343062,2.7021708056283855,3.9703095063753384,3.99819410944222,3.1362477909367286,3.036706154439711,1.5716686361239884,3.4720272845923725,3.3169702096028733,3.453160670225324
3.5864578197977295,4.098816419554124,4.125837696899618,4.378430863711663,3.930761103009539,3.404815109813918,2.571148712904941,3.864204873787168,4.867249224992227,4.180220106764118,2.09495922035765,4.123256776965459,3.369263801407131,4.111551798368037,3.991294273915915,3.9712789827736703,1.643751366766447,3.306209586801427,3.8822968395848294,4.070921830900874,3.430066297914741,4.3077634992555085,3.781081816213524,3.8496067307901463,3.8911904572884985,4.17029029682646,2.517147320670864,3.8530863393206576,4.6850625885692345,2.981304191880673,3.9112664735953686,2.7291851725215874,2.6772458542750273,4.430874597859798,3.9180123008460823,2.7109194765337357,1.800529043747161,4.30191406855052,3.4743099544911487,4.037713703738916,4.335766342363742,3.9885461527933552,4.030142915595352,4.240761918655685,2.1361664974021606,4.394663278119591,4.299928387957607,4.148655727049995,3.9978018130252204,4.702478708182945,4.0475793914658285,2.672159864635501,4.077960043521377,4.228622199483699,4.183233195911912,4.208861562843995,1.690459655704509,3.3591241237500142,3.916203664676087,4.537544726863526,2.369524611846529,4.0138253458422986,4.124933136496281,4.252126509500515,4.1646129273944075,3.2270911810799747,3.72759451678278,4.1593279768086715,3.9397262097367225,4.083397012240317,4.092223617196192,3.9346159596992223,4.061582036458013,3.8652302380961485,3.7549025624683336,3.379928518588579,4.137407431597051,3.8410258059834796,4.018119456598309,4.425498794989395,2.2015106064814542,3.5977902523194456,3.833747620639558,3.165321798919439,2.9317628121260246,2.2034153455162775,3.2801920537119535,4.401570226086231,3.938699974597016,4.288933817607348,3.972739334081294,3.911206313906698,4.090637070720545,2.5684684260736024,3.9158078998964205,3.693594001545929,2.575677167299243,4.58591143919009,4.412126084581915,4.496857292323144,2.680156284693892,2.7102075824601104,2.1396023635722887,3.976078536817366,4.259689479145989,2.4972144576153408,3.1816726625118426,3.7733193544312176,4.24092754496971,4.01385496053051,2.8058117988892253,4.735124566134727,3.957582078049201,3.9323885387061424,2.7530587478472794,4.243032825142878,3.9351044415457186,3.1052004207651223,1.9077344181395426,4.085571674132434,3.93213100338581,2.687923554923283,1.8681979928900199,4.212703638444818,3.9423821443253617,4.585488668075219,3.3697609591772917,3.275360009958251,4.473350683772697,3.175422187179162,3.9233045820822046,4.227752298417268,4.311057195865717,3.2694828823789712,3.765069132680857,3.822298192789609,3.637892405174397,2.1513775534714994,4.26655537436402,3.3525828682650625,3.628165209410108
4.281824086492767,4.086491377516623,4.258587870675743,4.455590443071218,4.491140735718807,3.7876292598803305,3.648781663317355,4.033326984958018,4.179417973908955,4.97785032295084,2.086730553965432,2.5349302208558173,4.1773257124832135,4.237178311105623,4.068905406913873,4.239248741653862,1.8048449041830867,3.762092320150771,4.242217737774739,4.217382179079539,3.849927098476898,4.345976131445896,4.0143805597180355,2.422804736755374,4.117286422522559,4.400586636795416,3.2877989157375653,4.210633309984166,4.497929920645748,3.705388378541661,4.00158742927314,3.8195974597520244,1.8923620760847293,4.516392959703293,4.1813668934307575,2.9396030814171064,1.7988063612334386,4.186615508662018,4.134477134137003,4.405350734080595,4.374191097657124,4.198506704176094,4.09670495453263,4.621305090697928,4.1105438311200615,4.652663905743105,4.196048653572065,4.100156375238351,4.365020283755554,4.664818351957553,4.170111890897918,1.6915035406805161,4.162404919308799,3.811387329396328,4.156603144669281,4.062763122119602,2.694009100793235,4.042638888160466,3.628125997345326,4.3235990476513635,1.6458684151672553,4.301585691560269,4.078903986441498,4.365807502935229,4.1788786848358,4.118604731634992,3.9746966359800715,3.4669345227136676,4.267508628500797,4.201309140576634,4.183275079138192,4.126470977622786,4.233551798401069,4.431681481812527,4.373756390785833,4.239046488321415,3.9505135873188735,4.501876767142082,4.399952723056618,4.439893278196257,4.127652261758804,4.154514011195614,3.9860411198324313,4.304209470247491,4.023168029404934,4.455474559613241,3.5171957862879166,4.5510482126506915,4.098819475321601,4.188267153025179,4.041281646980458,4.112976018339274,4.158055854443817,3.9857213360832953,3.914309683859594,4.141619635634439,2.182060508443848,4.565148587878681,4.4121629287786055,4.3008494863510105,3.532998608617329,2.8435878682911375,4.292513554419967,4.070026378065388,4.382425504700666,2.7017145372755147,3.958901420154046,4.017854449724337,4.322289613047794,3.938291123738148,3.68856246755178,4.103820941143098,3.6814264997866144,4.121506306221581,4.15355890953623,4.318089897564273,4.09720706543963,3.989423263989801,3.3244743207367216,4.329880377163631,4.239397796391363,3.9935873112852005,1.8383916701307963,4.0791615104120895,4.153740735603176,4.617490651184701,3.7431944030858726,3.500147150892221,4.329784142647226,4.006304159038896,3.0119006374860273,4.367441756438422,4.435220969872552,3.4149865799378447,2.7240575003504675,4.398739178677293,4.037029037431292,2.3704362011994893,4.112964469257266,2.9401854214916283,3.537829248101426
