Poisoning(Systemic),Electric Shock,Burn/Scald(Heat),Cancer,Asphyxia,Amputation,Radiation Effects,Foreign Body Ineye,Burn(Chemical),Concussion,Dislocation,Other,Bruise/Contus/Abras,Heat Exhaustion,Strain/Sprain,Cut/Laceration,Hernia,Puncture,Non record,Fracture,Dermatitis,Freezing/Frost Bite,Hearing Loss
4.9656806812594105,2.3132103221719964,3.2590876069447483,4.483272104870044,4.056809169792999,4.287780685193944,3.482356521923542,1.94534548489618,4.090298907460175,2.354250995573688,2.154742753536206,1.8836391524992575,2.3138301616293147,2.938353293589042,2.3138301616293147,2.3138301616293147,3.493079964591829,4.052098099822139,2.7267139853369406,3.03118838671352,4.239290194881595,3.949467443952791,1.685253823892835
2.314814205716771,4.937281517400741,3.462830571676397,1.9832147657576238,2.68474634685047,4.266295134033131,2.393442778765728,2.1954204072983443,3.0810237222795522,2.630386981324462,1.880347204375544,1.7071756671773946,1.6054078117835586,3.4743380016156213,1.6054078117835586,1.6054078117835586,2.6811391683782353,4.459234446937511,2.17945321483939,3.064764307694812,1.901657560387195,1.9249598379935593,2.7611645051959854
3.2750228601320135,3.4672269120320385,4.855079749506215,2.3307851195262614,3.276669051821677,4.179779459994071,2.647038611530969,2.023185770919703,4.2438292498960175,2.832327077684992,3.5174849760532556,1.828553441011663,3.9305748074671363,4.0706292154539625,3.9305748074671363,3.9305748074671363,3.048199566259067,3.716132685221934,2.712576218924752,3.0166949432221943,3.7410321067792953,3.522334586565669,2.169340048719776
4.51052289092736,1.991074307828463,2.3397694792669967,4.99355950518184,1.6012461491896994,4.698658409505485,4.124754123251763,2.281805214844827,2.90433148646373,4.3267589087268865,1.5768804201315438,2.9147152523737936,2.222280978321568,1.7538365175563988,2.222280978321568,2.222280978321568,4.311608662877097,4.100880812297223,2.8304478209940416,4.201761946111748,3.371180239892732,2.8989615340638384,2.1403181544951524
4.045043044104576,2.670972134080124,3.253479447152904,1.5685041576923384,4.992128458227874,4.235680674076676,1.6257611741851803,1.6152239416432046,3.9650422117515856,4.355057990980896,4.63128056202194,3.2086670926605505,3.586839814840066,3.9049917406528016,3.586839814840066,3.586839814840066,4.38263705529559,4.200346004011178,2.6460831728944143,4.159261579518069,3.9290187901506037,3.038172819370431,2.3740560081525146
4.288022692173868,4.265649865206728,4.178090951015177,4.695560245858832,4.243741402452209,4.998892152750112,3.9439749909067183,3.5037094280980776,4.400404455793217,4.827163485109345,4.883865997333926,3.2578019234161824,4.455755411010562,4.036753572563701,4.455755411010562,4.455755411010562,4.793893900656387,4.80048982893034,4.019038822809763,4.724682746048736,3.4062983539579386,4.740112648823622,4.504222449631619
3.4973942759871406,2.388535821065304,2.6504121040702304,4.118049168996824,1.6553378848023663,3.9521209493244576,4.9420258561235935,1.9421588114542219,3.221668219176568,3.776923895830524,2.682949204822778,2.6819118139764346,2.1650468322956375,2.396151980310656,2.1650468322956375,2.1650468322956375,3.143177079974459,3.8430518063464474,2.665962502137094,3.8408308332713634,2.856521864831628,3.6637459024295924,2.748325729475884
1.9365335518807245,2.1960522554531194,2.024894404114346,2.2638012060308306,1.6312837786962304,3.5138239137235296,1.9328015000154173,4.882406476299092,2.2190527792336234,1.9312903087656168,2.0830213608987567,1.9163260808973268,2.963828634448375,1.98028904949087,2.963828634448375,2.963828634448375,2.5724844371896882,2.5913639105047204,1.7643362193050853,1.71866738618765,1.9118527724069376,2.212745144687005,2.0367555225343406
4.10413555490642,3.0795820435712624,4.245772999198003,2.903678358471061,3.982662976098053,4.4008642190463085,3.221752844429156,2.220418836379773,4.938134644821991,4.145282153265021,2.6172610251230335,2.8643695404583753,3.084297776180296,3.4551101701071385,3.084297776180296,3.084297776180296,3.388942979596208,3.708007981249347,3.0752867914217115,3.816414846048241,3.8906460057027767,2.5606202001622496,2.298390040486944
2.3443168258598694,2.6183032818205505,2.8093584006820054,4.307617307859526,4.356351946937758,4.821548264452456,3.7691096011153746,1.9191161623464656,4.135105463676913,4.995833362960315,3.737932956194257,2.091846014781823,3.084190831656677,3.896044829518399,3.084190831656677,3.084190831656677,4.02018266760168,3.8915022497348404,2.8236669653064146,4.563466943836441,2.6476041801797283,2.6942676412748066,3.2529250217945194
