 Crushed/run-over of non-operator by operating cons, Wall (earthen) collapse, Crushed/run-over by construction equipment during," Electric shock, other and unknown cause", Crushed/run-over/trapped of operator by operating," Fall, other", Other," Drown, non-lethal fall", Trench collapse, Electrocution by equipment contacting wire, Fire/explosion, Unloading-loading equipment/material (except by cr, Electrocution from equipment installation/tool use, Fall from/with platform catwalk (attached to struc, Asphyxiation/inhalation of toxic vapor, Fall from roof, Fall from/with ladder, Collapse of structure, Fall from/with scaffold, Lifting operations,Non record, Elevator (struck by elevator or counter-weights), Electrocution by touching exposed wire/source, Caught in stationary equipment, Crushed/run-over by highway vehicle, Struck by falling object/projectile, Fall through opening (other than roof), Heat/hypothermia, Fall from vehicle (vehicle/construction equipment), Fall from/with structure (other than roof), Fall from/with bucket (aerial lift/basket)
4.894896857049527,1.6956726969049198,2.573259170417133,3.0779999273188694,4.345344843874005,2.6801201201004057,3.174751433568866,2.610349576984503,1.7014959950091368,3.0470778076898273,3.3835926018061,3.6887817904810665,3.472106255117115,2.4768354639237575,3.5847862702967355,2.5719927725544,1.7842805694477926,1.9474835758048374,1.8011397388333488,2.3860962853026297,3.5496153284087555,3.095224203263682,3.7729097599347177,2.2199511665571654,3.6666020640721686,2.4730060353868497,3.104358865622455,4.079297844775858,2.707677599179998,2.235057728527526,2.0458578811108916
1.6916803181827884,4.868981067363471,2.112225456044477,2.10832408971164,2.2721779441955774,1.9371000554504711,1.5976388584608292,2.2811421895529342,4.30591866791318,2.1410533889769567,2.1629865125330454,2.6756176350132823,1.9750407117544604,3.1610631965905283,2.4276489838957693,3.6305590295460113,2.4753449558823037,4.52894007958484,3.098745621389886,1.9282523105407638,1.6135187729153508,3.877890732124723,3.2886968582030875,2.4145852162929557,2.048186996565464,3.2432350758223376,3.6241826683637037,2.3753755726791,2.627658103959723,3.7165132947963597,2.7513024951926277
2.5917843937267113,2.1200321108834554,4.658426154972046,2.1818083830969766,3.2288320897616214,2.429342902837009,1.8596868075524422,2.1549572573150555,2.215985768066226,3.296520264705497,2.024221996072833,2.4491534320773316,3.4440954263121535,2.5994245166776078,2.1111021109847297,3.4951998727329334,1.9961240984250304,2.173456872901304,3.3246003691205,3.394845028800254,2.0843322514062117,2.3433809503448386,2.193620086359291,3.2606015194800513,2.865383537878178,2.0639095800221003,2.70894439236005,1.904328055858743,3.2951809258722897,2.5706378289990144,2.694856519930273
3.0827189002994833,2.1154718780729653,2.178045985563641,4.823423089896791,2.715762423120247,3.1836659439240558,3.919106549755672,2.63485266560662,2.0580523796220174,2.827762966839366,2.622684581574057,2.5653994215133444,2.9449130708434845,1.662831506800746,3.404428797505411,2.5950827931510836,1.766581270841464,1.854896500103792,1.9937410401833005,1.4194463210863237,2.3405702454413033,1.9938609468564024,3.0930037965892487,2.669995918986806,2.7863907845124265,2.345801154327444,2.6133441474935233,1.5719445831254057,2.536666975558787,2.1821704501981305,1.6872635137399044
4.347824634858815,2.277096505039753,3.2091419056352555,2.7071407443539943,4.8344444402620725,2.6661289707368616,2.4565599403633276,2.453898619203396,1.9871728904511847,3.950030466888533,2.656141237749218,4.1016996020382885,3.6012271954204103,2.5783330379892906,2.5983456595587944,2.712202027700697,2.3309067060571307,2.985944112397687,2.5547664594170536,3.5751674857906193,2.115749663418611,3.4610711617965775,3.866213224833985,3.4206336754153193,2.893262653849572,3.293599699894273,2.7820200361590235,3.5316487232670797,2.8278405035602128,2.427851649983513,2.9699770131639327
2.69851946355229,1.949880076082636,2.4270850854231885,3.193465638681247,2.6883458735308836,4.801489318071795,4.425333735434818,4.145898788662352,2.029931112138163,2.060172949644784,1.756526793657342,3.190130934543511,2.2110736036060854,3.5870563256848067,2.200157752787259,4.116738480184799,3.9287097718320534,1.8748514861327588,4.014217197679638,1.5657021448562252,2.4291526888428523,2.2120568965024776,1.9967284326104702,2.398165672182784,2.3142393947055773,3.4410253622356195,3.978382173409033,1.56597193141125,3.9696373630264783,3.9247825731754244,3.174337242713478
3.1860798091123277,1.6084520846976782,1.8638225782541613,3.9184730878607876,2.4756595894968143,4.423368891810693,4.92295725243466,2.550542960503286,1.6727068102330214,2.4541703623726336,1.7326468853458852,2.7465157570558194,2.7751985238764267,2.0190302755182445,2.4227468244346553,2.14069898546746,1.8340579044688572,1.4980762252193114,1.924995729256033,1.6655681589075524,2.169189524006816,1.8546409387304572,2.5909513688523362,3.552467008744026,2.241905673116082,2.30608376287614,3.6598595696009553,1.5493448840242008,2.366340321486744,3.538624782337215,1.7760686136044521
2.62423048455946,2.2963898803884555,2.151174304846578,2.6388474570587994,2.4701956087272103,4.143876439516537,2.549514275628661,4.879412324776452,2.466538532901512,2.306521617974732,2.369654634473222,2.2639746312898668,3.2653883330190787,2.444498672567199,3.4754679897174494,4.271567208398757,2.4975702355167426,1.7500749099564032,2.7581098137837374,1.8737583938328222,2.0349906356335623,1.8511028165776382,2.5479816334418004,2.6297839141378043,3.1995168652043566,3.9428679726411664,3.7036296549508645,2.657264586896443,3.9710812897963006,2.1114261142906985,3.030565001359874
1.6995400143722992,4.3127872868078585,2.207410712340096,2.0531646145658735,1.9920621320913536,2.024388315689825,1.663971877403812,2.4604345069115334,4.981984499263591,2.177352867182459,1.9689187989878163,1.8498383005587113,1.8930071916891427,2.2632125119275037,2.4978674558581275,3.0974270320225465,1.8763992411812307,4.751779612378235,2.0164249827602965,2.1144785262358097,1.6659960453958136,1.9203737920549746,2.2478501565448066,1.944287258729188,1.8252794097472633,2.5017703053013274,2.331617712637008,1.8897984527568252,2.120759683184649,2.17023039579209,2.0243849657711506
3.0546846102016154,2.1489705230157505,3.287332364005109,2.830379991184447,3.951138484245112,2.0503781838779336,2.4478462711241704,2.302083127959861,2.182415657273212,4.881453632889576,2.6657582969425753,2.875627253471958,4.023023306705589,1.8894278501996693,1.657595213838971,2.8502249830517568,1.7626897890676592,1.773415285362439,2.276665306064003,3.095371712322319,1.6345900660705037,2.8099558238710522,4.186274134783783,3.785550190921979,2.3664475688759463,2.845596997830058,2.261622267627927,1.8040500337715881,3.37142091964952,2.0605716156066314,2.1380448558461396
