SummaryNr,Degree,Nature,Occupation,FallDist,Cause,FatCause
201523297,3,1,5,2,2,2
202540498,3,1,12,1,6,2
201955705,3,1,12,1,11,7
202467981,3,1,15,1,2,7
202507000,1,1,12,1,3,7
170766802,4,7,1,2,1,2
202529624,3,3,2,1,1,7
202540605,3,1,1,3,1,7
202529459,3,7,15,2,3,7
201509163,3,1,1,2,4,7
201044146,3,1,12,2,2,7
202467759,3,1,15,1,1,7
202540019,1,7,15,2,12,7
200625150,3,6,2,1,4,4
201491750,4,3,2,1,2,7
200604163,4,7,12,3,1,7
202573671,1,3,12,1,3,7
202506846,3,1,15,3,10,2
170835995,3,1,2,1,2,7
202540258,3,1,5,1,1,4
202540001,3,1,15,2,2,7
202560587,3,7,15,3,2,2
200758738,4,1,5,3,2,7
202488292,3,1,1,1,4,7
202342267,4,3,12,2,3,7
200925550,4,3,2,1,1,7
202539995,3,1,12,1,16,4
202079737,3,1,15,3,8,4
200357309,3,1,12,2,3,4
201021961,3,1,15,2,2,7
201126919,3,1,2,1,1,7
202517892,4,6,1,3,11,4
202549382,3,1,2,1,3,7
202518213,3,1,15,3,2,2
202518296,3,1,2,2,11,7
202487674,3,1,4,1,3,7
202506671,1,1,1,1,2,2
202528873,3,6,2,3,4,7
201072923,3,1,15,3,6,2
202466926,3,1,15,2,10,7
201942695,3,1,5,3,2,2
171044258,3,1,2,1,4,4
200613016,3,1,12,2,2,7
201184546,3,1,1,1,2,4
200775500,1,1,12,2,2,7
202518544,3,6,15,2,2,2
202288932,3,3,2,3,2,4
202549606,3,1,2,1,2,7
200831337,3,6,12,3,2,7
202367595,3,1,12,2,2,7
202367595,1,7,12,2,2,7
202088688,3,1,2,3,3,4
201924487,4,1,12,3,2,7
200831329,1,7,15,1,2,7
200462307,4,1,12,2,3,7
202562617,3,1,2,2,4,7
202549424,3,1,15,2,3,7
201637923,3,6,12,3,2,2
170839856,3,1,2,2,1,4
200831295,3,6,12,2,2,7
200831295,3,5,12,2,2,7
202539722,3,1,15,2,8,7
200925402,4,7,1,2,2,7
200677433,4,6,5,3,2,7
201720307,4,6,2,1,2,4
201751757,4,6,5,1,2,2
202527966,3,1,12,2,2,2
201250206,4,1,2,2,3,7
202517751,3,6,2,1,3,7
202517348,3,1,15,2,2,2
201637766,3,7,15,3,2,7
202527792,3,1,6,1,2,7
201043734,4,1,6,3,3,4
202549192,1,1,5,1,3,7
200775161,1,7,12,2,2,2
202475042,1,6,12,1,10,7
202518379,3,1,15,2,2,2
201184561,3,3,1,2,3,7
202448189,3,1,2,1,2,2
202079414,4,6,12,2,2,2
201637899,3,1,12,2,3,2
202527636,1,1,2,1,1,7
202517181,3,1,15,2,8,2
202474490,4,6,15,2,6,7
201043692,3,7,3,1,3,7
202448171,3,1,2,2,2,7
202465910,3,7,15,2,4,7
200775138,3,1,12,1,1,7
201149804,3,1,1,2,1,7
201021573,3,1,2,2,8,2
202501995,3,1,15,2,2,4
202466330,3,1,12,2,1,4
201184207,3,3,2,1,10,4
201321247,4,6,2,2,2,2
201490372,3,3,5,2,11,7
170839823,3,1,2,2,2,7
201072113,3,3,2,1,2,7
200083376,1,1,12,2,6,2
201043551,4,6,12,3,3,4
202486551,1,1,12,1,2,7
200555183,4,6,12,3,8,4
202539482,3,6,2,1,4,7
202527339,3,1,12,1,2,7
201021466,3,7,5,1,3,7
202448254,3,1,2,3,2,2
202486502,3,7,12,1,3,7
201039872,3,6,12,1,1,7
201942596,4,6,2,2,2,2
201184264,3,1,1,1,2,7
201169810,3,1,15,3,2,2
201859485,4,7,1,1,5,7
200462240,4,6,2,2,2,2
202454153,3,1,5,2,2,2
202527081,1,1,2,2,2,4
202448213,3,1,1,2,2,4
201043460,4,6,1,3,5,4
200331981,3,1,12,3,6,7
200151280,4,6,12,2,4,7
202506325,3,1,6,2,2,2
311310064,4,7,15,3,3,4
170839799,3,1,3,1,11,7
200801934,1,7,2,3,2,7
200801934,3,1,2,3,2,7
200801934,1,7,2,3,2,7
200881431,4,1,5,2,2,2
200331973,4,6,12,3,2,4
201071636,3,1,15,1,8,7
200331999,4,6,15,3,3,4
201169893,3,1,2,1,1,7
202465241,4,6,15,2,6,4
202454005,3,1,1,3,2,2
200742286,4,6,12,3,3,7
200332005,4,6,12,3,2,2
202474458,3,1,2,2,2,2
200713337,4,7,12,2,2,7
201126430,1,7,14,1,2,7
202260774,3,7,12,3,4,7
202485884,3,1,1,1,3,7
202526851,3,1,12,2,2,2
202517041,3,5,2,1,2,7
202474409,3,1,2,2,11,2
202501003,3,1,1,3,3,7
200774875,3,1,12,1,8,7
202079018,4,6,2,2,3,4
200170868,4,6,12,3,4,7
201089604,4,3,1,2,3,2
201781044,4,1,12,2,3,2
201169349,3,1,12,1,2,2
200924942,4,3,12,2,3,7
202506069,3,1,2,1,2,7
201622388,3,1,2,2,2,2
200271773,4,3,15,1,3,7
201353463,4,7,6,1,3,7
201862943,4,6,12,2,2,7
200651354,1,5,12,1,2,7
202527222,1,7,15,1,10,7
201169042,4,3,15,2,8,4
200202968,4,6,12,2,11,4
202447546,3,1,4,1,1,4
200784304,4,6,15,3,2,4
201702347,3,6,12,2,11,7
201702347,3,7,12,2,11,7
201702347,3,6,12,2,11,7
201169471,3,1,2,1,12,7
200083129,3,1,12,3,2,7
201126273,3,1,15,2,1,2
202367082,4,6,12,3,2,4
201321015,4,6,12,2,2,4
170835631,3,1,2,3,2,2
201924255,4,6,15,3,8,4
201043247,4,1,15,3,14,4
200083053,3,1,12,1,2,4
200374312,4,3,2,3,2,2
200924918,4,6,1,3,3,2
202014528,4,1,12,2,2,4
201363033,4,6,12,2,3,4
202078978,3,1,12,2,3,7
200263226,4,6,12,3,6,2
202526984,3,1,12,3,8,7
201203619,3,1,2,2,2,2
200924900,4,3,12,1,12,7
200263218,4,3,12,3,2,2
202447231,1,1,14,1,2,7
202526570,3,1,1,1,3,7
201489903,3,1,12,1,2,7
200603678,4,6,12,2,2,2
202446233,3,1,6,2,3,2
200713196,4,1,5,2,2,2
202495800,3,1,12,2,2,2
202485165,3,6,5,2,2,2
201751625,4,1,12,1,1,7
201183795,3,1,2,1,1,4
202341822,4,3,12,3,2,2
201183670,3,1,2,1,3,7
202495792,3,3,12,1,3,7
201523016,3,6,12,2,2,7
202088282,3,1,15,3,2,2
200841591,3,1,6,2,5,2
200331908,4,6,12,2,1,7
201071610,3,1,6,2,2,7
202464954,3,1,12,2,3,7
202473559,4,3,15,2,3,7
202485520,3,5,15,1,4,7
201203650,3,1,15,2,2,7
201751617,4,7,12,2,2,7
202485306,3,3,1,2,4,7
309772580,3,6,12,1,2,7
202495685,3,3,2,1,8,4
201320975,3,1,2,2,2,7
202516159,3,1,2,2,2,4
201126513,3,1,15,1,1,7
201183555,3,1,15,2,3,2
201070794,3,7,2,2,2,2
202516241,3,1,2,2,2,4
201489705,3,1,15,2,2,7
201489549,1,7,12,1,1,4
201636610,3,1,12,2,2,2
309299204,3,1,15,2,8,2
202485181,3,1,15,1,3,2
202446407,3,1,15,1,3,7
201183399,3,1,2,1,3,7
200774685,3,3,2,2,2,7
202495396,3,1,15,3,4,7
200202919,4,6,12,2,2,2
201070877,3,1,6,1,3,4
200170827,4,6,2,3,2,7
201070992,3,1,2,1,4,7
200032928,3,1,12,2,6,7
201109550,3,1,15,1,8,4
201282571,4,6,12,1,2,7
201148707,3,1,15,2,2,7
202464798,3,7,5,2,2,2
202461877,4,6,12,3,2,2
202341723,4,1,12,3,3,4
200082881,3,7,12,2,2,4
201126075,3,1,15,2,1,7
202495354,3,1,2,1,3,4
200462125,4,3,5,2,2,7
201148665,3,3,6,2,4,7
201183274,3,3,2,1,2,7
202453106,3,1,15,1,3,7
170389621,3,1,13,3,1,7
170389621,3,1,15,2,1,7
170389621,3,1,15,2,1,7
170389621,3,1,15,2,1,7
202445722,3,1,2,1,1,7
202473534,1,7,15,1,10,4
201407772,4,7,15,2,2,7
200541548,4,3,12,3,2,2
200801702,3,1,12,3,3,7
200082790,1,7,12,1,2,7
201109659,3,1,15,2,2,7
202461844,4,6,12,2,2,2
202341707,4,3,12,2,2,2
201636487,3,1,15,2,2,2
202495172,3,1,1,1,10,7
201088093,4,6,6,1,2,7
201109147,1,7,15,1,3,7
310811849,3,3,2,2,2,7
201038650,3,1,15,2,2,2
202445359,3,1,15,1,8,4
202497764,3,1,12,1,3,7
202366514,4,6,12,3,2,4
201168713,3,1,5,2,3,4
201507092,3,1,6,2,3,4
202453445,3,6,15,2,2,2
202077772,4,1,12,1,1,7
200554624,4,6,12,2,7,7
201168655,1,1,2,1,1,7
201371101,4,1,12,2,2,2
201507266,3,7,12,1,2,7
201613197,3,1,5,2,2,2
200331825,3,1,12,2,4,4
201636479,3,1,12,3,3,4
201992708,3,6,12,3,4,7
200801686,4,1,15,3,1,4
201506946,3,7,2,1,13,7
200170785,4,3,12,2,11,2
201407731,4,3,15,1,3,4
202484119,3,7,2,1,6,7
201507027,3,1,12,1,2,7
201636503,3,1,5,2,2,7
200623973,4,7,5,2,2,2
201507191,3,1,2,2,1,7
202445011,3,1,2,2,5,7
200676336,3,7,12,1,11,7
202452801,3,1,15,1,3,7
200102556,4,3,12,1,6,7
201168333,1,3,2,1,1,7
200831089,4,3,12,3,3,4
202472908,3,1,1,2,2,2
201353182,4,1,12,3,11,7
201168275,3,1,1,1,3,7
201168150,3,1,2,2,2,4
201488988,3,1,2,1,2,7
201203346,3,1,12,1,2,4
202443750,3,7,2,1,2,4
200531143,4,6,2,2,2,7
201088036,3,2,5,2,2,2
200612257,4,1,12,2,3,7
201148293,3,6,15,2,5,4
201506755,3,1,2,1,2,4
202366019,3,1,12,1,2,7
202316337,3,1,15,1,6,7
201992476,3,1,2,2,2,7
201992476,3,1,2,2,2,7
200612307,3,1,12,2,2,7
201070190,3,1,2,1,1,7
202463105,3,1,12,2,2,7
201506664,3,1,12,1,2,4
202495438,3,1,2,1,3,4
202462941,3,1,1,2,2,7
201125887,3,1,1,2,8,7
201272457,4,1,12,3,5,2
200355147,4,3,2,1,3,7
202360061,1,1,16,1,11,7
200202745,4,1,12,2,3,4
200530806,3,6,1,2,2,7
201407616,4,7,15,1,2,2
201380789,4,6,15,1,3,7
201800802,3,1,15,2,4,7
201108388,3,1,2,2,4,7
201087806,3,1,15,2,2,7
202463543,3,1,12,2,5,7
201167814,3,7,1,1,11,7
171044100,3,1,6,2,4,4
200052702,3,1,15,2,2,7
201182821,3,1,1,2,3,7
201573078,4,7,12,3,11,7
200541399,4,1,12,1,10,7
201506540,3,1,12,2,2,2
200032696,4,6,12,3,2,2
201107752,3,1,15,1,11,7
200082576,3,1,12,3,8,7
202450474,4,7,12,2,2,2
201488491,3,1,2,2,2,7
201613049,1,1,2,1,8,4
201353042,4,1,15,3,2,7
201353042,4,1,15,3,2,7
201693223,3,6,2,1,1,4
201635778,3,1,2,2,3,4
201147865,3,6,2,2,3,4
200023182,4,3,12,3,3,4
170388979,4,1,5,2,2,2
309515641,4,1,12,2,2,7
200373843,4,3,2,2,2,2
202365607,4,1,12,2,3,4
202442703,3,1,15,1,10,4
201182797,3,1,4,2,2,7
200783793,4,1,15,2,3,4
201702065,3,1,12,1,2,7
