SummaryNr,Degree,Nature,Occupation,FallDist,Cause,FatCause,TaskAssigned,HumanFactor,EnvironmentFactor,EventType,SourceInjury,PartBody,ProjType, ProjCost,EndUse
202089710,1,1,1,2,0,5,1,3,2,1,4,2,1,5,1
200776433,1,1,1,3,2,4,1,7,1,1,1,2,2,3,2
201128279,1,1,0,1,2,2,1,1,1,1,3,0,2,2,2
202613659,1,1,0,2,3,2,0,0,0,0,0,0,1,6,3
200534212,2,1,0,3,1,1,2,1,2,1,2,2,1,7,1
202586848,1,1,0,2,0,1,1,0,1,1,5,0,3,1,2
200359263,1,1,1,2,2,3,1,5,1,1,0,1,1,1,2
200359263,3,0,1,2,2,3,1,5,1,1,0,2,1,1,2
201494895,2,0,0,2,1,1,1,3,1,1,1,1,1,4,3
202542767,1,1,0,1,0,5,2,2,4,1,2,4,1,5,2
201128501,1,0,1,1,0,2,1,0,1,1,3,0,2,5,1
200776417,1,1,1,3,1,1,1,1,2,1,1,1,3,1,4
201185568,1,1,3,1,0,4,1,4,1,1,1,5,2,1,2
202552980,1,3,3,1,1,0,2,2,0,1,4,2,3,1,1
200922565,2,2,3,1,1,1,1,4,2,1,4,1,3,1,2
202521092,1,2,3,2,3,5,1,3,1,1,1,2,1,2,3
202508487,1,0,0,1,0,5,1,1,1,0,4,0,1,7,4
201076346,1,1,2,3,2,1,1,0,1,1,2,0,2,5,2
201250313,2,2,2,3,0,5,1,2,2,1,1,2,1,7,3
201127990,1,0,2,2,2,4,1,3,2,1,4,0,1,6,2
201763778,2,2,3,2,3,1,1,1,2,1,4,3,1,2,1
201185683,1,4,2,1,4,2,1,7,1,1,3,0,2,2,1
200902542,2,2,3,2,0,1,1,1,1,1,1,1,2,1,1
201127966,1,1,4,2,0,1,1,2,1,1,1,4,2,4,1
202530663,1,1,1,1,0,6,1,2,1,1,1,0,1,5,2
201076767,1,1,3,1,0,0,2,2,1,1,4,4,0,3,1
201076767,1,1,3,1,0,0,2,2,1,1,4,0,0,3,1
202469805,1,1,1,1,0,0,1,7,1,1,2,1,1,2,3
201371432,2,2,1,3,1,1,2,3,1,1,4,1,1,2,2
201076056,1,1,2,1,0,3,1,0,1,1,2,0,1,7,1
202469821,1,1,3,1,2,4,1,3,0,1,0,0,1,2,2
202456844,1,1,0,2,0,4,1,6,1,1,1,2,2,2,2
202508321,1,0,2,2,0,2,1,4,1,1,3,0,1,6,2
202491304,1,1,2,1,0,2,2,0,2,1,3,0,1,1,3
201408333,2,3,3,3,2,2,1,2,2,1,3,1,3,1,2
200776078,1,1,1,1,2,4,1,2,1,1,1,2,2,1,4
201127867,1,1,2,1,0,3,1,2,2,1,4,0,1,3,4
201023074,1,1,1,2,1,1,1,3,2,1,1,5,1,2,2
201639721,1,1,1,1,0,3,2,7,1,1,1,2,1,6,0
202627899,1,1,3,1,0,2,1,2,2,1,3,1,1,2,2
202627881,1,1,2,1,0,4,1,1,1,1,1,0,1,5,1
202568614,2,2,1,3,0,3,1,2,2,1,4,0,2,3,0
201127834,1,1,2,2,2,2,1,2,2,1,3,0,3,4,4
201075967,1,3,3,1,0,2,1,3,1,1,3,1,2,1,2
201956174,1,0,1,1,0,0,1,4,3,0,0,4,3,4,4
202456893,1,1,2,1,2,1,1,2,1,1,5,2,1,5,2
202490884,1,1,2,1,1,1,1,6,0,1,3,3,2,1,2
202507919,1,1,3,1,0,4,1,4,1,1,1,0,2,2,2
202490751,1,1,2,2,0,2,1,1,1,1,3,5,1,3,0
201185337,1,4,2,1,0,2,1,4,1,1,3,1,2,1,1
201494713,1,1,2,2,2,1,1,0,2,0,2,0,1,4,2
202507802,1,1,2,2,2,1,1,7,0,1,2,0,1,3,3
201273026,2,2,1,3,0,1,1,1,2,1,2,3,2,4,3
202490538,1,1,2,1,2,5,1,2,1,0,1,0,1,4,2
200644805,2,4,1,3,0,4,1,1,1,1,1,0,1,3,0
202541991,1,1,1,1,0,2,1,2,2,1,3,0,2,2,2
200358547,1,1,3,2,0,3,1,1,1,1,2,0,1,6,3
201371382,2,4,1,2,1,1,1,3,1,1,5,1,1,2,1
201703030,1,1,1,1,0,3,0,0,0,0,0,0,2,4,2
200776011,1,0,2,1,0,6,1,1,2,1,1,0,1,5,2
202251997,1,1,1,2,2,4,2,2,1,1,1,5,2,1,2
201494424,1,1,0,2,4,4,1,6,2,1,4,2,1,5,4
200332328,1,1,1,3,3,0,1,2,1,1,4,3,1,3,0
200332328,1,1,1,3,3,0,1,2,1,1,4,3,1,3,0
202541744,1,1,3,1,0,0,1,1,2,1,1,2,2,4,1
201495405,1,1,0,2,1,3,2,3,4,1,2,4,3,1,2
200003002,2,3,3,3,1,1,1,3,1,1,1,1,2,3,1
201381217,1,1,2,2,2,6,1,0,1,1,2,0,1,2,2
201523495,1,1,4,3,1,1,2,1,1,1,1,0,3,1,2
201773512,2,1,3,3,0,1,2,3,1,1,1,1,1,4,1
200023653,2,3,1,1,0,5,2,3,1,1,1,1,2,2,2
202251930,1,1,1,1,2,2,1,0,3,1,3,0,1,2,2
202528121,2,4,1,3,0,3,1,4,1,1,0,1,1,5,2
202541454,1,0,0,2,4,2,1,2,2,1,3,0,2,5,1
201639028,1,1,0,1,4,2,1,7,1,1,3,0,1,2,0
