SummaryNr,Degree,Nature,Occupation,FallDist,Cause,FatCause,TaskAssigned,HumanFactor,EnvironmentFactor,EventType,SourceInjury,PartBody,ProjType, ProjCost,EndUse
200776011,1,0,2,1,6,6,1,1,2,1,1,0,1,5,2
202251997,1,1,1,2,2,4,2,2,1,1,1,5,2,1,2
201494424,1,1,5,2,4,4,1,6,2,1,4,2,1,5,4
200332328,1,1,1,3,3,8,1,2,1,1,4,3,1,3,6
200332328,1,1,1,3,3,8,1,2,1,1,4,3,1,3,6
202541744,1,1,3,1,14,8,1,1,2,1,1,2,2,4,1
200003002,2,3,3,3,1,1,1,3,1,1,1,1,2,3,1
201381217,1,1,2,2,2,6,1,9,1,1,2,6,1,2,2
201523495,1,1,4,3,1,1,2,1,1,1,1,0,3,1,2
201773512,2,1,3,3,8,1,2,3,1,1,1,1,1,4,1
202251930,1,1,1,1,2,2,1,8,3,1,3,9,1,2,2
200263804,2,3,1,1,6,3,1,1,1,1,2,1,1,2,2
201022571,1,1,1,2,10,1,1,2,1,1,4,7,3,1,2
200625564,2,2,1,2,1,1,1,2,2,1,2,12,2,2,1
202504692,2,2,2,1,2,1,1,1,2,1,4,1,3,2,2
201509510,1,5,3,1,2,2,1,1,2,1,3,4,3,1,4
202600037,1,1,1,1,6,2,1,7,1,1,5,8,1,2,2
202560827,2,4,1,1,13,3,1,9,1,1,1,1,1,2,2
200514941,2,3,7,2,5,2,1,2,2,1,3,1,1,4,1
201127271,1,1,4,1,1,3,1,2,2,1,4,11,2,3,1
202599783,1,1,2,1,2,3,1,1,3,1,2,12,1,6,4
202541066,1,1,3,2,13,2,1,1,4,1,3,0,1,5,2
201022340,1,1,1,1,23,1,1,1,1,1,1,1,1,4,3
202540902,1,1,3,3,21,3,1,1,4,1,2,2,1,5,2
202476271,1,1,3,1,1,1,1,2,2,1,2,7,1,1,2
201773470,1,2,2,2,8,3,1,5,1,1,2,1,1,4,1
200533081,2,3,3,1,2,2,1,4,3,1,5,1,2,1,2
202550695,1,1,6,2,17,4,1,1,2,1,4,3,1,3,1
201751864,2,1,3,1,5,2,2,2,2,1,3,1,1,5,1
200541860,2,4,1,2,1,4,1,3,2,1,3,2,2,1,2
202342432,1,1,1,2,8,6,1,3,2,1,6,4,1,3,4
201204187,1,1,2,2,2,4,1,1,1,1,3,2,1,4,4
201184835,1,1,7,2,5,4,1,1,1,1,3,4,2,2,1
201638525,1,1,1,3,1,1,1,1,1,1,2,2,1,3,1
201127073,1,1,4,2,1,1,1,1,1,1,2,2,1,6,2
202586319,1,1,1,1,5,2,1,2,1,1,3,5,2,2,2
202455564,1,1,3,1,2,2,2,2,4,1,5,6,2,1,2
201638517,1,1,1,2,2,4,1,4,1,1,2,4,2,1,2
201184975,1,1,2,1,15,2,1,4,2,1,3,0,4,2,2
202586350,3,1,1,1,18,1,1,5,1,1,2,6,1,5,2
202585949,1,3,2,1,8,4,1,1,2,1,4,1,2,3,2
201074226,1,1,2,1,2,1,1,1,1,1,2,9,1,5,2
201523297,1,1,4,2,1,1,1,5,1,1,2,10,3,1,1
202540498,1,1,1,1,9,1,1,2,1,1,5,1,1,4,2
201955705,1,1,1,1,11,3,1,3,1,1,2,6,1,3,4
202507000,3,1,1,1,6,4,1,2,2,1,5,4,2,2,1
202529624,1,3,2,1,8,4,2,2,4,1,6,1,2,1,1
202529459,1,0,3,2,17,4,1,1,2,1,4,10,4,1,2
201044146,1,1,1,2,2,3,1,2,2,1,2,2,1,3,4
202467759,1,1,3,1,8,2,1,2,2,1,5,0,2,1,2
202540019,3,4,3,2,22,3,1,2,2,1,1,8,1,7,2
201491750,2,3,2,1,2,3,1,1,1,1,2,1,1,4,2
202573671,3,3,1,1,20,4,1,3,2,1,4,1,1,3,1
170835995,1,1,2,1,2,4,1,1,1,1,5,0,2,3,2
202540001,1,1,3,2,2,2,1,4,4,1,3,4,2,5,2
202560587,1,5,3,3,2,1,1,6,2,1,2,1,1,4,2
200758738,2,1,4,3,1,3,1,1,2,1,1,1,1,5,1
202342267,2,3,1,2,18,2,1,7,1,1,3,1,2,6,1
200925550,2,3,2,1,8,4,1,1,2,1,1,1,1,4,1
202079737,1,1,3,3,10,6,1,2,1,1,1,2,1,6,4
201073715,1,1,2,1,1,7,1,1,2,1,2,0,3,1,1
200357309,1,1,1,2,6,6,1,8,3,1,2,6,1,4,4
201021961,1,1,3,2,2,2,1,2,2,1,3,0,1,1,2
201126919,1,1,2,1,8,3,1,2,2,1,5,1,1,2,2
202518213,1,1,3,3,1,1,1,3,1,1,1,2,1,2,1
202518296,1,1,2,2,4,3,2,5,1,1,1,2,1,2,1
201072923,1,1,3,3,9,1,1,3,3,1,5,2,2,6,4
202466926,1,1,3,2,13,2,1,6,2,1,3,5,1,6,4
171044258,1,1,2,1,15,5,1,1,1,1,5,3,1,3,7
200775500,3,1,1,2,2,4,1,4,1,1,1,2,1,2,2
202518544,1,2,3,2,2,1,1,5,1,1,5,2,1,6,1
202288932,1,3,2,3,2,6,1,1,1,1,1,1,1,7,8
202549606,1,1,2,1,2,2,1,2,2,1,3,6,4,1,1
200831337,1,2,1,3,7,3,1,2,2,1,4,0,1,2,4
202367595,1,1,1,2,2,2,1,1,1,1,3,0,4,1,3
202367595,3,5,1,2,2,2,1,1,1,1,3,1,4,1,3
201924487,2,1,1,3,2,4,1,4,1,1,1,3,1,4,2
200831329,3,4,3,1,7,4,1,7,1,1,1,4,1,6,1
200462307,2,1,1,2,23,2,1,7,1,1,3,1,3,1,4
202549424,1,1,3,2,18,3,1,2,2,1,2,8,1,1,1
201637923,1,2,1,3,1,1,2,1,2,1,2,4,3,1,2
170839856,1,1,2,2,8,5,1,4,1,1,1,5,1,2,3
200831295,1,2,1,2,1,4,1,2,2,1,1,6,1,1,1
200831295,1,0,1,2,1,4,1,2,2,1,1,0,1,1,1
202539722,1,1,3,2,10,3,1,1,2,1,4,5,1,4,2
200925402,2,5,5,2,16,3,1,5,1,1,2,1,1,3,1
200677433,2,2,4,3,1,2,1,7,2,1,3,1,1,4,2
201720307,2,2,2,1,2,6,1,2,2,1,4,1,1,6,4
200831394,3,0,1,1,7,7,1,1,2,1,2,5,1,2,4
200831394,3,0,1,1,7,7,1,1,2,1,2,5,1,2,4
202527966,1,1,1,2,1,1,1,1,2,1,4,9,2,5,1
201250206,2,1,2,2,20,2,1,4,1,1,3,1,2,2,3
202517751,1,2,2,1,6,4,1,2,2,1,1,1,1,3,1
202517348,1,1,3,2,1,1,1,3,4,1,5,6,1,4,3
201637766,1,4,3,3,7,8,1,1,2,1,1,2,1,6,1
201043734,2,1,6,3,12,5,1,2,2,1,1,7,1,6,1
200775161,3,4,1,2,1,1,2,1,1,1,1,8,2,2,1
202518379,1,1,3,2,1,1,1,3,1,1,2,4,3,1,1
201184561,1,3,7,2,5,4,1,2,1,1,1,1,3,2,4
202448189,1,1,2,1,2,1,1,1,2,1,2,6,1,3,3
202079414,2,2,1,2,1,1,1,2,2,1,4,1,1,2,2
202517181,1,1,3,2,10,1,1,3,1,1,2,8,1,2,1
202448171,1,1,2,2,2,4,1,2,2,1,1,0,2,2,2
200775138,1,1,1,1,8,2,2,2,3,1,3,8,2,1,1
201021573,1,1,2,2,10,1,2,1,1,1,5,6,2,2,2
202501995,1,1,3,2,16,5,1,1,1,1,1,1,2,3,1
202466330,1,1,1,2,8,5,1,4,2,1,2,4,2,1,1
201321247,2,2,2,2,2,1,1,4,1,1,1,8,2,2,2
170839823,1,1,2,2,2,2,1,4,1,1,3,10,3,1,4
201072113,1,3,2,1,2,3,1,1,2,1,2,1,1,3,2
201043551,2,2,1,3,17,5,1,3,1,1,5,2,1,7,1
200555183,2,2,1,3,10,6,1,1,1,1,1,1,2,3,4
202539482,1,2,2,1,15,2,1,2,4,1,3,2,1,7,1
202527339,1,1,1,1,2,2,1,1,1,1,3,6,2,2,2
202448254,1,1,2,3,2,1,1,3,2,1,4,2,1,5,2
201039872,1,2,1,1,8,2,1,1,2,1,3,4,1,3,3
202454369,1,2,3,1,6,7,1,2,1,1,1,1,2,2,3
201942596,2,2,2,2,1,1,1,5,1,1,1,2,1,2,2
201859485,2,5,5,1,3,2,2,1,1,1,1,4,1,4,3
200462240,2,2,2,2,2,1,1,5,2,1,4,1,1,5,2
202454153,1,1,4,2,1,1,1,1,1,1,1,3,1,7,2
202527081,3,1,2,2,2,6,1,6,2,1,4,6,1,3,4
201043460,2,2,5,3,3,5,1,1,4,1,1,1,1,7,4
200151280,2,2,1,2,15,4,1,4,1,1,1,1,1,5,2
311310064,2,4,3,3,6,6,2,4,2,1,2,3,1,7,1
200801934,3,4,2,3,2,3,1,2,2,1,2,5,1,2,1
200801934,1,1,2,3,2,3,1,2,2,1,2,3,1,2,1
200801934,3,0,2,3,2,3,1,2,2,1,2,4,1,2,1
200881431,2,1,4,2,1,1,1,4,1,1,2,1,3,1,2
200331973,2,2,1,3,2,5,1,1,2,1,7,2,1,5,2
201071636,1,1,3,1,10,2,1,2,3,1,3,8,1,7,3
200331999,2,2,3,3,5,5,1,2,2,1,1,3,1,3,1
201169893,1,0,2,1,8,2,1,2,2,1,5,2,2,4,2
202465241,2,2,3,2,9,5,1,3,2,1,5,1,2,1,1
200742286,2,2,1,3,5,4,1,4,1,1,1,2,2,3,2
200332005,2,2,1,3,1,1,1,5,2,1,1,3,3,1,5
202474458,1,1,2,2,2,1,1,3,1,1,1,2,1,2,3
200713337,2,4,1,2,2,3,1,10,1,1,1,1,1,5,4
202260774,1,4,1,3,19,3,1,2,1,1,1,3,2,4,3
202485884,1,1,7,1,5,4,1,2,1,1,1,11,2,4,2
202517041,1,0,2,1,7,2,1,4,4,1,5,5,2,1,2
202501003,1,1,7,3,5,3,1,1,1,1,2,11,2,2,4
200774875,1,1,1,1,10,2,1,4,1,1,3,4,4,1,3
202079018,2,2,2,2,6,6,1,1,2,1,4,1,1,5,2
200170868,2,2,1,3,15,3,1,5,1,1,1,2,1,7,4
201089604,2,3,7,2,5,1,1,1,2,1,1,3,2,1,1
201781044,2,1,1,2,5,1,1,3,2,1,1,3,2,1,2
201169349,1,1,1,1,2,1,2,2,2,1,4,0,1,6,4
200924942,2,3,1,2,6,9,1,1,4,1,2,1,1,4,1
202506069,1,1,2,1,2,2,1,4,4,1,5,6,1,6,3
201622388,1,1,2,2,2,1,1,1,1,1,5,4,1,4,2
200271773,2,3,3,1,6,4,1,3,1,1,1,1,1,1,3
201862943,2,2,1,2,2,4,1,2,2,1,4,1,1,2,2
200651354,3,0,1,1,7,4,1,2,2,1,1,0,1,4,1
201169042,2,3,3,2,10,6,1,3,1,1,1,1,2,4,1
200784304,2,2,3,3,2,6,2,3,1,1,2,2,1,3,4
200083129,1,1,1,3,1,4,1,3,2,1,5,4,3,1,4
201126273,1,1,3,2,8,1,1,6,1,1,2,8,1,3,4
202367082,2,2,1,3,2,6,1,3,2,1,5,2,4,1,3
201321015,2,2,1,2,16,5,1,2,1,1,5,2,1,5,3
170835631,1,1,2,3,1,1,1,3,1,1,5,2,2,3,1
201924255,2,2,3,3,10,5,1,3,1,1,1,2,1,5,1
200083053,1,1,1,1,2,6,2,3,2,1,4,9,1,2,2
201282803,2,2,1,1,1,7,1,6,1,1,2,1,1,3,3
202078978,1,1,1,2,18,4,1,1,1,1,5,5,1,1,2
202526984,1,1,1,3,10,9,1,1,2,1,4,4,2,3,1
200924900,2,3,1,1,22,2,1,7,1,1,3,1,1,1,1
200263218,2,3,1,3,2,1,2,1,1,1,3,1,2,1,4
200603678,2,2,1,2,1,1,1,1,1,1,2,3,1,4,2
200713196,2,1,4,2,1,1,1,5,1,1,5,1,1,3,2
202495800,1,1,1,2,2,1,1,5,1,1,2,0,1,2,3
202485165,1,2,4,2,1,1,1,3,4,1,2,1,1,4,1
201751625,2,1,1,1,8,3,1,9,1,1,5,10,2,2,2
202341822,2,3,1,3,1,1,1,5,1,1,2,1,2,2,1
201183670,1,1,2,1,18,2,2,6,2,1,3,11,3,2,2
202495792,1,3,1,1,23,2,1,1,2,1,3,1,1,3,2
200841591,1,1,6,2,3,1,1,1,1,1,1,2,1,5,1
200331908,2,2,1,2,8,4,1,4,1,1,1,1,2,5,3
201071610,1,1,6,2,2,4,2,2,2,1,1,8,1,2,2
202464954,1,1,1,2,20,3,2,3,1,1,2,6,1,3,3
202473559,2,3,3,2,6,4,1,9,1,1,2,2,1,3,2
202485520,1,0,3,1,19,2,2,7,2,1,3,5,1,5,2
201203650,1,1,3,2,2,4,1,2,2,1,4,5,2,2,1
309772580,1,2,1,1,1,2,1,10,2,1,3,1,3,1,2
201320975,1,1,2,2,2,3,1,1,1,1,2,7,2,2,1
202516159,1,1,2,2,1,5,1,1,1,1,1,2,1,2,1
201126513,1,1,3,1,14,2,1,1,3,1,3,0,1,5,1
201183555,1,1,3,2,6,1,1,7,1,1,1,1,2,1,2
201070794,1,5,2,2,2,1,1,3,1,1,1,0,2,4,4
202516241,1,1,2,2,1,5,1,1,1,1,1,2,1,2,1
201489549,3,4,1,1,8,6,1,1,1,1,5,2,1,3,2
201636610,1,1,1,2,1,1,1,1,1,1,1,4,2,1,2
309299204,1,1,3,2,10,1,1,2,2,1,4,4,1,2,2
202446407,1,1,3,1,5,2,1,2,2,1,3,0,3,1,2
201183399,1,1,2,1,6,4,1,3,1,1,1,2,1,2,2
202495396,1,1,3,3,15,3,2,2,1,1,4,8,1,2,2
200202919,2,2,1,2,1,1,1,1,1,1,1,1,1,4,8
201070877,1,1,6,1,5,5,1,1,1,1,1,0,3,1,2
201070992,1,1,2,1,15,3,1,3,1,1,5,5,1,7,1
201109550,1,1,3,1,10,5,2,3,1,1,1,9,1,1,2
201282571,2,2,1,1,2,2,2,1,2,1,3,1,2,5,1
202464798,1,5,4,2,1,1,1,6,2,1,2,0,1,1,2
202461877,2,2,1,3,1,1,1,1,1,1,1,1,1,2,1
200082881,1,0,1,2,2,6,1,1,2,1,1,3,2,1,4
201126075,1,1,3,2,8,8,1,6,3,1,7,11,1,4,4
202495354,1,1,2,1,5,5,1,6,1,1,4,2,3,1,2
200462125,2,3,4,2,1,4,1,5,1,1,1,1,1,1,4
201183274,1,3,2,1,2,3,1,1,1,1,1,1,1,2,4
202453106,1,1,3,1,5,2,1,4,1,1,3,5,2,1,2
202445722,1,1,2,1,8,3,1,3,2,1,4,8,1,2,2
202473534,3,4,3,1,13,5,1,3,2,1,1,1,1,2,2
201407772,2,4,3,2,2,2,1,1,2,1,3,10,1,1,2
200801702,1,1,1,3,6,3,1,4,1,1,2,3,1,3,1
200082790,3,4,1,1,2,3,1,1,1,1,2,8,1,4,2
202461844,2,2,1,2,2,1,1,1,1,1,2,0,1,5,2
202341707,2,3,1,2,1,1,1,9,1,1,2,1,1,1,2
201636487,1,1,3,2,2,1,1,5,1,1,1,0,1,3,2
202495172,1,1,7,1,13,2,1,2,1,1,3,6,2,1,2
201088093,2,2,6,1,2,3,1,2,2,1,4,1,1,4,2
310811849,1,3,2,2,2,2,1,1,1,1,5,1,4,1,2
201038650,1,1,3,2,2,1,1,1,1,1,1,2,2,4,2
202497764,1,1,1,1,18,2,1,2,1,1,3,10,1,2,2
202366514,2,2,1,3,2,5,1,9,2,1,4,2,4,1,3
201507092,1,1,6,2,17,5,1,6,1,1,2,3,2,2,1
202453445,1,2,3,2,2,1,1,5,2,1,3,0,3,1,4
202077772,2,1,1,1,8,2,1,4,2,1,3,1,2,2,2
201371101,2,1,1,2,1,1,2,2,2,1,5,1,3,1,2
201613197,1,0,4,2,1,1,1,5,1,1,1,0,2,2,1
200331825,1,1,1,2,19,5,1,1,2,1,1,5,2,1,6
201992708,1,2,1,3,19,3,2,4,1,1,2,2,1,4,1
200801686,2,1,3,3,8,6,1,2,1,1,1,1,1,3,5
200170785,2,3,1,2,4,1,2,1,2,1,2,3,2,2,3
201407731,2,3,3,1,6,6,2,5,1,1,2,1,1,2,2
